,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,PRES,TEMP,PSAL,DOXY,NITRAT,NITRIT,SILCAT,PHSPHT
342,0.03,0.32,,,201.0,19.93,35.74333333,172.2,7.16,0.02,2.1,0.71
343,0.02,0.77,,,453.0,8.443333333,34.61666667,113.13333329999999,31.545,0.0,30.7,2.165
344,0.03,0.79,,,604.0,6.896666667000001,34.54666667,92.36666667,36.615,0.0,43.39,2.505
345,0.01,0.61,,,1261.0,3.593333333,34.55,123.03333329999998,37.95,0.0,93.66,2.69
346,0.01,0.67,,,1515.0,2.94,34.58,131.2,37.63,0.0,111.72,2.685
347,0.02,0.84,,,1765.0,2.5,34.605,140.7,37.07,0.0,119.525,2.685
351,0.02,0.18,,,200.0,20.86,35.94,186.6,4.095,0.02,0.83,0.47
352,,,0.0,0.0,30.0,28.485,35.41,208.05,1.95,0.06,1.805,0.335
353,0.01,0.13,0.0,0.0,75.0,28.305,35.64,206.4,2.4,0.07,1.51,0.365
354,0.02,0.24,,,151.0,24.39,36.02,165.15,6.955,0.29,2.0,0.67
355,0.02,0.35,,,302.0,13.135,34.84,88.55,21.825,0.0,13.03,1.82
356,0.0,0.48,,,352.0,10.665,34.68,86.8,26.695,0.0,19.23,1.995
357,0.0,0.67,,,504.0,7.8,34.575,122.75,31.935,0.0,32.46,2.16
361,0.01,0.17,,,30.0,28.51,35.33,208.3,1.46,0.045,1.805,0.29
362,0.01,0.2,,,65.0,28.65,35.58,201.8,1.945,0.1,1.61,0.38
363,0.02,0.28,,,150.0,23.38,36.21,169.9,5.455,0.1,1.41,0.58
364,0.01,0.46,,,321.0,11.88,34.77,81.2,25.76,0.0,17.96,1.99
365,0.03,0.21,0.0,0.0,30.0,29.10666667,35.23,208.56666669999998,0.315,0.02,1.76,0.2
366,0.02,0.26,0.0,,45.0,29.11,35.23,208.7,0.33,0.02,1.415,0.205
367,0.03,0.15,,,76.0,27.99,35.72333333,194.1333333,1.285,0.405,1.76,0.365
368,,,0.0,,100.0,26.69666667,36.05333333,206.6,0.185,0.18,1.415,0.27
369,0.04,0.23,,,201.0,20.88,35.91333333,175.4,5.88,0.02,1.51,0.595
370,0.04,0.37,,,352.0,11.01,34.70333333,84.86666667,26.635,0.0,19.13,2.05
371,0.02,0.71,,,805.75,5.5075,34.51,108.4,38.15,0.0,57.79,2.66
372,0.01,0.46,0.015,0.0,1006.0,4.47,34.51,120.43333329999999,37.83,0.0,70.045,2.65
373,,,0.0,0.0,1259.0,3.605,34.545,126.5,37.605,0.0,90.93,2.66
374,0.06,0.86,,,1766.0,2.45,34.61,147.95,36.43,0.0,118.405,2.595
