STNNBR,depth,lat,lon,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
17,3692,-15,-109.19,1.12,0.04,,,147.435,36.925,0,2.645,3743,1.85,34.67,158.3,4.84,0.01
18,20,-14.98,-112.75,0.33,0.02,0.05,0,1.71,3.805,0.075,0.465,20,24.305,35.815,224.1,4.6975,0.125
18,60,-14.98,-112.75,0.18,0,0.05,0,1.12,0.535,0.03,0.32,60,23.87,36.17,226.8,4.7125,0.205
18,95,-14.98,-112.75,0.25,0.01,0.05,0,1.12,0.3,0.1,0.365,95,22.7575,36.22,222.8,4.75,0.215
18,150,-14.98,-112.75,0.31,0.02,0.07,,0.73,0.42,0.785,0.335,150,21.6,36.0675,215.05,4.7875,0.0775
18,355,-14.98,-112.75,0.54,0.02,0.05,0.1,25.38,30.705,0,2.6,356,10.445,34.6425,23.275,4.8,0.02
18,1400,-14.98,-112.75,,,0.09,0.02,109.715,39.935,0,2.855,1411,3.106666667,34.57333333,103.4333333,4.83,0.016666667
18,1800,-14.98,-112.75,,,0.09,0.02,124.405,38.19,0,2.725,1816,2.406666667,34.62,127.4666667,4.83,0.02
18,2000,-14.98,-112.75,,,0.05,0.05,128.21,37.205,0,2.65,2019,2.146666667,34.64,140.1666667,4.83,0.013333333
18,2225,-14.98,-112.75,,,0.07,0.09,126.405,35.99,0,2.56,2248,1.936666667,34.65,156.8666667,4.84,0.01
18,2250,-14.98,-112.75,,,0,0.02,125.67,35.71,0,2.54,2273,1.913333333,34.65,160.2,4.84,0.01
18,2275,-14.98,-112.75,,,,0.1,125.425,35.575,0,2.535,2298,1.896666667,34.65333333,163.5666667,4.84,0.01
18,2300,-14.98,-112.75,,,0.125,0.095,126.525,35.4975,0,2.54,2324,1.886666667,34.65666667,164.1666667,4.836666667,0.01
18,2350,-14.98,-112.75,,,0.1,0.08,126.8716667,35.38666667,0,2.525,2375,1.866666667,34.66,166.6666667,4.836666667,0.01
18,2375,-14.98,-112.75,,,0.14,0.05,121.67,36.245,0,2.5875,2400,1.865,34.66,167,4.83,0.01
18,2400,-14.98,-112.75,,,0,0.07,129.1575,35.3075,0,2.5325,2426,1.855,34.66,167.25,4.825,0.01
18,2425,-14.98,-112.75,,,0.07,0.02,130.11,35.435,0,2.535,2451,1.85,34.66,167.65,4.825,0.01
18,2500,-14.98,-112.75,,,,0.1,131.99,35.4125,0,2.555,2527,1.84,34.67,167,4.83,0.01
18,2550,-14.98,-112.75,,,0,0.04,132.16,35.295,0,2.555,2578,1.84,34.67,166.7,4.83,0.01
18,2625,-14.98,-112.75,,,0.04,0.055,128.5725,35.13,0,2.5425,2654,1.835,34.67,168.2,4.83,0.01
20,20,-15,-113.5,0.09,0,,0,1.46,2.6,0.05,0.39,20,24.26,35.99,223.6,4.716666667,0.106666667
20,50,-15,-113.5,0.15,0,0.02,0,1.22,1.765,0.04,0.355,50,24.08333333,36.09,226,4.706666667,0.193333333
20,86,-15,-113.5,0.11,0.02,,,0.975,0,0,0.225,86,23.49333333,36.43,224.2666667,4.753333333,0.18
20,95,-15,-113.5,,,0.22,,0.925,0,0,0.22,95,23.48333333,36.46333333,222.9666667,4.756666667,0.183333333
20,226,-15,-113.5,0.18,0.03,,,0.93,5.265,0.02,0.59,227,18.21333333,35.39,204.8333333,4.8,0.013333333
20,326,-15,-113.5,0.41,0,,,16.01,23.17,0,2.145,327,11.43333333,34.56666667,74.53333333,4.803333333,0.013333333
20,401,-15,-113.5,0.68,0.02,,,23.43,32.23,0,2.525,403,9.143333333,34.55,45.6,4.81,0.016666667
20,501,-15,-113.5,0.68,0.01,,,30.31,36.655,0,2.515,503,7.383333333,34.50666667,75.26666667,4.813333333,0.016666667
20,1001,-15,-113.5,0.72,0.01,,,78.385,40.615,0,2.86,1008,4.26,34.52,91.56666667,4.83,0.023333333
20,1500,-15,-113.5,0.75,0.01,,0.08,113.67,39.29,0,2.84,1512,2.88,34.59,113.1,4.83,0.025
20,1750,-15,-113.5,0.71,0.01,0.12,0.05,122.7,38.27,0,2.755,1766,2.475,34.61,125.8,4.835,0.02
20,2001,-15,-113.5,0.81,0.01,,,127.77,36.995,0,2.665,2020,2.125,34.64,142.45,4.835,0.015
20,2100,-15,-113.5,,,,0.06,128.065,36.5,0,2.63,2121,2.03,34.64,150.15,4.835,0.015
20,2200,-15,-113.5,1,0.03,,0.02,126.65,35.84,0,2.57,2222,1.935,34.65,159.6,4.84,0.015
20,2250,-15,-113.5,,,0,0.09,126.155,35.395,0,2.53,2273,1.9,34.65,164.15,4.84,0.015
20,2400,-15,-113.5,0.81,0.01,,0,127.675,35.03,0,2.5,2426,1.855,34.66,167.85,4.83,0.015
20,2450,-15,-113.5,0.78,0.03,0,0.01,129.2325,35.1,0,2.5075,2476,1.85,34.66,168,4.83,0.015
20,2500,-15,-113.5,0.75,0.01,0.15,0,130.015,35.085,0,2.525,2527,1.85,34.66,168.1,4.83,0.015
20,2550,-15,-113.5,,,0,0.03,130.21,35.105,0,2.53,2578,1.84,34.67,168.4,4.83,0.015
20,2650,-15,-113.5,0.87,0.02,0,0.02,130.895,35.19,0,2.535,2680,1.835,34.67,169.3,4.835,0.015
20,2700,-15,-113.5,,,0,0.04,130.89,35.14,0,2.535,2731,1.83,34.67,170.15,4.835,0.015
20,2799,-15,-113.5,0.99,0.02,,,130.89,35.135,0,2.54,2832,1.825,34.67,172,4.84,0.015
20,2899,-15,-113.5,1.15,0.03,,,130.405,35.03,0,2.52,2933,1.82,34.67,173.6,4.83,0.01
20,3000,-15,-113.5,,,0,0.06,129.92,35.06,0,2.535,3036,1.82,34.67,175,4.84,0.01
20,3100,-15,-113.5,,,0,0.11,129.915,35.015,0,2.54,3138,1.83,34.67,175.9,4.84,0.01
21,20,-14.77,-115,,,,0,1.61,3.165,0.07,0.42,20,24.61666667,35.91666667,222.8,4.713333333,0.123333333
