STNNBR,depth,lat,lon,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_L,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
26,252,-11.71,-128.08,0.01,0.0,0.17,0.18,0.01,,,7.12,15.36,0.0,1.375,253.0,15.15333333,34.98,163.2333333,4.806666667,0.016666667
26,852,-11.71,-128.08,0.01,,0.09,0.72,0.0,,,61.6,39.89,0.0,2.77,857.0,5.17,34.5,90.86666667,4.83,0.02
26,1250,-11.71,-128.08,0.02,,0.04,0.95,0.02,,0.15,95.91,38.99,0.0,2.745,1259.0,3.54,34.55,114.75,4.83,0.02
26,1501,-11.71,-128.08,0.01,,0.05,0.53,0.03,,,110.94,38.195,0.0,2.71,1513.0,2.925,34.58,127.85,4.83,0.02
26,2000,-11.71,-128.08,0.03,,0.02,0.61,0.03,,0.07,128.26,36.92,0.0,2.63,2019.0,2.13,34.635,147.6,4.84,0.02
26,2550,-11.71,-128.08,0.03,0.0,0.02,,,,0.19,137.14,36.21,0.0,2.58,2578.0,1.815,34.66,160.7,4.84,0.02
26,2650,-11.71,-128.08,0.02,0.0,0.02,,,,0.18,134.795,35.305,0.0,2.605,2679.0,1.8,34.67,162.8,4.84,0.02
26,2750,-11.71,-128.08,0.0,0.0,0.03,,,,0.04,136.16,35.325,0.0,2.595,2781.0,1.76,34.67,165.5,4.84,0.02
26,3750,-11.71,-128.08,0.0,0.0,0.04,,,,0.06,135.725,34.595,0.0,2.53,3802.0,1.57,34.68,186.9,4.84,0.02
26,3965,-11.71,-128.08,0.01,0.0,0.06,,,,0.16,138.31,34.755,0.0,2.535,4022.0,1.56,34.68,187.0,4.83,0.02
28,20,-11.63,-132.5,0.0,0.0,1.23,0.07,0.0,,0.0,1.465,2.34,0.05,0.37,20.0,27.28666667,36.0,213.4666667,4.736666667,0.143333333
28,76,-11.63,-132.5,0.0,0.0,1.02,0.12,0.01,,,1.32,2.295,0.045,0.38,76.0,26.34666667,36.01333333,216.3666667,4.743333333,0.226666667
28,121,-11.63,-132.5,0.0,0.0,0.47,0.16,0.0,,,1.12,0.615,0.26,0.41,121.0,25.17666667,36.28333333,202.2666667,4.776666667,0.15
28,441,-11.63,-132.5,0.0,0.57,0.14,0.86,0.01,,,29.035,32.275,0.0,2.235,443.0,8.83,34.64666667,86.76666667,4.81,0.02
28,611,-11.63,-132.5,0.01,0.53,0.11,0.73,0.01,,,44.855,39.41,0.0,2.69,614.0,7.003333333,34.56,65.1,4.82,0.02
28,860,-11.63,-132.5,0.01,0.0,0.07,0.74,0.02,,0.02,65.84,41.545,0.0,2.895,865.0,5.226666667,34.51333333,74.8,4.813333333,0.02
28,1501,-11.63,-132.5,0.02,0.0,0.06,0.83,0.01,,,110.645,38.29,0.0,2.75,1513.0,3.005,34.58,126.55,4.83,0.02
