Year,sta,depth,lat,lon,Hg_total,Hg_total_flag,Hg0,Hg0_flag,MMHg_fM,MMHg_flag,DMHg_fM,DMHg_flag
2011,2,1200,39.35,-69.54,1.03,2,0.32,2,0.00,2,32.00,2
2011,2,1350,39.35,-69.54,,3,,3,0.00,2,45.00,2
2011,2,1500,39.35,-69.54,,3,,3,65.00,2,135.00,2
2011,2,1690,39.35,-69.54,1.05,2,0.39,2,179.00,2,188.00,2
2011,2,1800,39.35,-69.54,0.96,2,0.35,2,319.00,2,163.00,2
2011,2,2000,39.35,-69.54,0.97,2,0.40,2,276.00,2,113.00,2
2011,2,2200,39.35,-69.54,1.11,2,0.52,2,268.00,2,62.00,2
2011,2,2460,39.35,-69.54,1.22,2,0.42,2,126.00,2,105.00,2
2011,3,28,38.67,-69.10,1.34,2,0.45,2,92.00,2,9.00,2
2011,3,60,38.67,-69.10,1.34,2,0.33,2,143.00,2,11.00,2
2011,3,89,38.67,-69.10,1.02,2,0.29,2,104.00,2,16.00,2
2011,3,110,38.67,-69.10,,3,0.39,2,215.00,2,50.00,2
2011,3,135,38.67,-69.10,,3,0.39,2,107.00,2,233.00,2
2011,3,189,38.67,-69.10,0.88,2,,5,54.00,2,33.00,2
2011,3,235,38.67,-69.10,0.85,2,0.34,2,0.00,2,22.00,2
2011,3,289,38.67,-69.10,0.77,2,0.15,2,0.00,2,0.00,2
2011,3,417,38.67,-69.10,0.94,2,0.52,2,79.00,2,49.00,2
2011,3,537,38.67,-69.10,1.03,2,0.51,2,85.00,2,81.00,2
2011,3,665,38.67,-69.10,1.06,2,0.54,2,240.00,2,203.00,2
2011,3,800,38.67,-69.10,1.13,2,0.63,2,245.00,2,151.00,2
2011,3,965,38.67,-69.10,0.80,2,0.41,2,0.00,2,98.00,2
2011,3,1075,38.67,-69.10,0.83,2,0.48,2,0.00,2,210.00,2
2011,3,1200,38.67,-69.10,0.76,2,0.42,2,,4,190.00,2
2011,3,1350,38.67,-69.10,0.96,2,0.42,2,149.00,2,259.00,6
2011,3,1500,38.67,-69.10,0.93,2,0.49,2,236.00,3,227.00,2
2011,3,1800,38.67,-69.10,1.03,2,0.51,2,184.00,2,295.00,2
2011,3,2100,38.67,-69.10,1.08,2,0.45,2,277.00,2,239.00,2
2011,3,2400,38.67,-69.10,1.10,2,0.49,2,50.00,2,112.00,2
2011,3,2900,38.67,-69.10,1.26,2,0.55,2,249.00,2,307.00,2
2011,3,3125,38.67,-69.10,1.17,2,0.48,2,389.00,2,,4
2011,3,3275,38.67,-69.10,1.33,2,0.34,2,411.00,2,0.00,2
2011,5,2,38.09,-68.70,0.59,2,0.04,2,94.00,2,,4
2011,5,24,38.09,-68.70,1.22,2,0.53,2,,4,,4
2011,5,70,38.09,-68.70,1.28,2,0.60,2,0.00,2,33.00,2
2011,5,110,38.09,-68.70,0.82,2,0.42,2,29.00,2,5.00,2
2011,5,135,38.09,-68.70,0.64,2,0.41,2,85.00,2,2.00,2
2011,5,185,38.09,-68.70,0.80,2,0.52,2,0.00,2,12.00,2
2011,5,235,38.09,-68.70,0.81,2,0.47,2,,4,16.00,2
2011,5,325,38.09,-68.70,0.82,2,0.40,2,,4,17.00,2
2011,5,420,38.09,-68.70,0.88,2,0.41,2,0.00,2,66.00,2
2011,5,550,38.09,-68.70,,4,0.47,2,0.00,2,32.00,2
2011,5,669,38.09,-68.70,0.94,2,0.51,2,21.00,2,185.00,2
2011,5,800,38.09,-68.70,1.15,2,0.66,2,309.00,2,181.00,2
2011,5,965,38.09,-68.70,1.08,2,0.55,2,34.00,2,192.00,2
2011,6,40,37.61,-68.39,1.39,2,0.24,2,,4,32.00,2
2011,6,69,37.61,-68.39,0.94,2,0.29,2,25.00,2,24.00,2
2011,6,90,37.61,-68.39,0.90,2,0.30,2,2.00,2,36.00,2
2011,6,110,37.61,-68.39,0.78,2,0.30,2,,4,13.00,2
2011,6,141,37.61,-68.39,0.82,2,0.33,2,,4,27.00,2
2011,6,160,37.61,-68.39,0.99,2,0.47,2,,4,89.00,2
2011,6,235,37.61,-68.39,0.96,2,0.50,2,,4,139.00,2
2011,6,285,37.61,-68.39,1.04,2,0.47,2,,4,181.00,2
2011,6,300,37.61,-68.39,1.09,2,0.69,2,,3,371.00,2
2011,6,350,37.61,-68.39,1.29,2,0.66,2,,4,291.00,2
