Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT
2010,5,251,31,-22,0.62,0.2,30,,253,16.49925,36.3137,197.95,4.6509,0.0035,2.14,5.66,0.01,0.36
2010,5,351,31,-22,0.59,0.2,50,,354,14.9272,36.0564,194.75,4.65445,0.0025,3.02,7.64,0,0.49
2010,5,351,31,-22,0.59,0.2,50,,354,14.9272,36.0564,194.75,4.65445,0.0025,2.93,7.63,0,0.47
2010,5,553,31,-22,0.71,0.24,73,,558,12.38645,35.678,188.75,4.6606,0.003,5.66,13.06,0,0.81
2010,5,553,31,-22,0.71,0.24,73,,558,12.38645,35.678,188.75,4.6606,0.003,5.56,12.97,0,0.81
2010,5,802,31,-22,0.98,0.38,76,,809,9.94615,35.46435,159.35,4.6666,0.004,11.32,20.03,0,1.3
2010,5,802,31,-22,0.98,0.38,76,,809,9.94615,35.46435,159.35,4.6666,0.004,11.22,19.98,0,1.27
2010,5,963,31,-22,0.87,0.39,139,,972,9.11395,35.51805,171.05,4.66915,0.004,12.97,20.22,0,1.31
2010,5,963,31,-22,0.87,0.39,139,,972,9.11395,35.51805,171.05,4.66915,0.004,12.97,20.15,0,1.32
2010,5,1202,31,-22,0.68,0.37,117,,1214,8.1293,35.5506,185.95,4.6719,0.004,14.14,19.32,0,1.26
2010,5,1202,31,-22,0.68,0.37,117,,1214,8.1293,35.5506,185.95,4.6719,0.004,14.34,19.26,0,1.26
2010,5,1501,31.01,-22,0.78,0.37,50,,1517,6.5513,35.3975,211.7,4.675,0.004,15.22,18.47,0,1.24
2010,5,1501,31.01,-22,0.78,0.37,50,,1517,6.5513,35.3975,211.7,4.675,0.004,14.93,18.54,0,1.24
2010,5,1800,31.01,-22,0.89,0.33,47,46,1821,5.0918,35.2112,234.1,4.6771,0.004,15.71,18.01,0,1.23
2010,5,1800,31.01,-22,0.89,0.33,47,46,1821,5.0918,35.2112,234.1,4.6771,0.004,15.71,17.99,0,1.22
2010,5,2100,31.01,-22,0.79,0.34,56,,2126,4.1307,35.0862,242.7,4.6789,0.004,20.1,18.6,0,1.28
2010,5,2100,31.01,-22,0.79,0.34,56,,2126,4.1307,35.0862,242.7,4.6789,0.004,20.1,18.62,0,1.28
2010,5,2401,31.01,-22,0.88,0.37,33,,2433,3.4225,35.0031,248.2,4.6799,0.005,24.69,18.97,0,1.31
2010,5,2401,31.01,-22,0.88,0.37,33,,2433,3.4225,35.0031,248.2,4.6799,0.005,24.4,18.99,0,1.32
2010,5,2701,31.01,-22,0.91,0.36,18,,2739,3.0401,34.9653,248.1,4.6805,0.004,29.57,19.61,0,1.37
2010,5,2701,31.01,-22,0.91,0.36,18,,2739,3.0401,34.9653,248.1,4.6805,0.004,29.67,19.68,0,1.37
2010,5,3001,31.01,-22,0.93,0.4,,,3045,2.7907,34.9413,246,4.6812,0.004,34.64,20.36,0,1.42
