Station_ID,Start_Latitude,Start_Longitude,Sample_Depth,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_kg,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,TRANSM,FLUORM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,SILCAT,NITRAT,PHSPHT
30,87.64,-179.593,374,0.14,0.54,0.014,0.064,0.016385008,0,0.131753178,0.14,0.54,0.014,0.064,4.4653,0.01,378.3,0.9249,34.868,296.6,5.86,12.21,0.83
30,87.64,-179.593,374,0.14,0.54,0.014,0.064,0.016385008,0,0.131753178,0.14,0.54,0.014,0.064,4.4653,0.01,378.3,0.9249,34.868,296.6,5.96,12.23,0.85
30,87.64,-179.593,799,0.04,0.74,0.026,0.032,0.008857153,5.21E-05,0.0740489,0.04,0.74,0.026,0.032,4.4677,0.01,809.4,0.0067,34.8766,300.5,6.45,12.3,0.84
30,87.64,-179.593,799,0.04,0.74,0.026,0.032,0.008857153,5.21E-05,0.0740489,0.04,0.74,0.026,0.032,4.4677,0.01,809.4,0.0067,34.8766,300.5,6.35,12.34,0.85
30,87.64,-179.593,799,0.04,0.74,0.026,0.032,0.008857153,5.21E-05,0.0740489,0.04,0.74,0.026,0.032,4.4669,0.01,809.4,0.0067,34.8766,300.5,6.45,12.3,0.84
30,87.64,-179.593,799,0.04,0.74,0.026,0.032,0.008857153,5.21E-05,0.0740489,0.04,0.74,0.026,0.032,4.4669,0.01,809.4,0.0067,34.8766,300.5,6.35,12.34,0.85
30,87.64,-179.593,999,0.04,0.41,0.013,0.102,0.003392523,0.000167841,0.053946978,0.04,0.41,0.013,0.102,4.4689,0.01,1012.5,-0.1695,34.8894,301.5,6.84,12.53,0.87
30,87.64,-179.593,999,0.04,0.41,0.013,0.102,0.003392523,0.000167841,0.053946978,0.04,0.41,0.013,0.102,4.4689,0.01,1012.5,-0.1695,34.8894,301.5,6.84,12.57,0.87
30,87.64,-179.593,999,0.04,0.41,0.013,0.102,0.003392523,0.000167841,0.053946978,0.04,0.41,0.013,0.102,4.4678,0.01,1012.5,-0.1695,34.8894,301.5,6.84,12.53,0.87
30,87.64,-179.593,999,0.04,0.41,0.013,0.102,0.003392523,0.000167841,0.053946978,0.04,0.41,0.013,0.102,4.4678,0.01,1012.5,-0.1695,34.8894,301.5,6.84,12.57,0.87
30,87.64,-179.593,1399,0,0.35,0.051,0.02,0.008805255,3.06E-05,0.033109442,0,0.35,0.051,0.02,4.4701,0.01,1419,-0.3467,34.9204,299.6,8.79,13.45,0.94
30,87.64,-179.593,1399,0,0.35,0.051,0.02,0.008805255,3.06E-05,0.033109442,0,0.35,0.051,0.02,4.4701,0.01,1419,-0.3467,34.9204,299.6,8.79,13.46,0.93
30,87.64,-179.593,1399,0,0.35,0.051,0.02,0.008805255,3.06E-05,0.033109442,0,0.35,0.051,0.02,4.4695,0.01,1419,-0.3467,34.9204,299.6,8.79,13.45,0.94
30,87.64,-179.593,1399,0,0.35,0.051,0.02,0.008805255,3.06E-05,0.033109442,0,0.35,0.051,0.02,4.4695,0.01,1419,-0.3467,34.9204,299.6,8.79,13.46,0.93
32,89.995,11.91,19,0.16,1.13,0.013,0.035,0.002546852,2.38E-05,0.690646225,0.16,1.13,0.013,0.035,4.427,0.096,19.2,-1.5947,31.4114,341.7,9.4,2.54,0.57
32,89.995,11.91,19,0.16,1.13,0.013,0.035,0.002546852,2.38E-05,0.690646225,0.16,1.13,0.013,0.035,4.427,0.096,19.2,-1.5947,31.4114,341.7,9.6,2.55,0.56
32,89.995,11.91,19,0.16,1.13,0.013,0.035,0.002546852,2.38E-05,0.690646225,0.16,1.13,0.013,0.035,4.417,0.07,19.2,-1.5947,31.4114,341.7,9.4,2.54,0.57
32,89.995,11.91,19,0.16,1.13,0.013,0.035,0.002546852,2.38E-05,0.690646225,0.16,1.13,0.013,0.035,4.417,0.07,19.2,-1.5947,31.4114,341.7,9.6,2.55,0.56
32,89.995,11.91,59,0.27,0.97,0.004,0.034,0.008947267,1.94E-05,0.298606598,0.27,0.97,0.004,0.034,4.4543,0.028,59.8,-1.793,33.0834,355.7,3.42,2.15,0.33
32,89.995,11.91,59,0.27,0.97,0.004,0.034,0.008947267,1.94E-05,0.298606598,0.27,0.97,0.004,0.034,4.4543,0.028,59.8,-1.793,33.0834,355.7,3.33,2.06,0.32
32,89.995,11.91,59,0.27,0.97,0.004,0.034,0.008947267,1.94E-05,0.298606598,0.27,0.97,0.004,0.034,4.4451,0.035,59.8,-1.793,33.0834,355.7,3.42,2.15,0.33
32,89.995,11.91,59,0.27,0.97,0.004,0.034,0.008947267,1.94E-05,0.298606598,0.27,0.97,0.004,0.034,4.4451,0.035,59.8,-1.793,33.0834,355.7,3.33,2.06,0.32
32,89.995,11.91,99,0.19,0.74,0.059,0.054,0.008934541,3.41E-05,0.25032441,0.19,0.74,0.059,0.054,4.4599,0.02,99.9,-1.7248,33.5607,336.3,3.91,4.06,0.42
32,89.995,11.91,99,0.19,0.74,0.059,0.054,0.008934541,3.41E-05,0.25032441,0.19,0.74,0.059,0.054,4.4599,0.02,99.9,-1.7248,33.5607,336.3,3.81,3.94,0.42
32,89.995,11.91,99,0.19,0.74,0.059,0.054,0.008934541,3.41E-05,0.25032441,0.19,0.74,0.059,0.054,4.4521,0.019,99.9,-1.7248,33.5607,336.3,3.91,4.06,0.42
32,89.995,11.91,99,0.19,0.74,0.059,0.054,0.008934541,3.41E-05,0.25032441,0.19,0.74,0.059,0.054,4.4521,0.019,99.9,-1.7248,33.5607,336.3,3.81,3.94,0.42
32,89.995,11.91,149,0,0.83,0.041,0.078,0.004966467,6.62E-05,0.195531577,0,0.83,0.041,0.078,4.4639,0.015,150.6,-0.9451,34.3499,299.1,4.59,8.51,0.64
