STNNBR,LATITUDE,LONGITUDE,GEOTRC_SAMPNO,CTDPRS,CTDDEPTH,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
6,68.0032,-168.0065,-999,12.6,13,5.594,31.7266,2,-999,9,321.4,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,14,14,5.0854,32.2086,2,-999,9,325.1,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,14,14,5.0854,32.2086,2,-999,9,325.1,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,15.8,16,4.9039,32.3846,2,-999,9,323.7,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,15.8,16,4.9039,32.3846,2,-999,9,323.7,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,10648,17.2,17,4.9024,32.3935,4,32.3148,2,320.2,1,30.82,2,7.58,2,0.22,2,1.75,2
6,68.0032,-168.0065,10647,17.2,17,4.9024,32.3935,4,32.3154,2,320.2,1,30.62,2,7.59,2,0.22,2,1.68,2
6,68.0032,-168.0065,-999,19.5,19,5.0006,32.1914,2,-999,9,283,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,19.5,19,5.0006,32.1914,2,-999,9,283,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,19.5,19,4.9657,32.2165,2,-999,9,283,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,19.5,19,4.9657,32.2165,2,-999,9,283,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,19.8,20,4.9101,32.2638,2,-999,9,290.7,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,19.8,20,4.9101,32.2638,2,-999,9,290.7,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,10646,30.9,31,4.7734,32.4137,2,32.4134,2,246.6,1,36.49,2,9.9,2,0.23,2,1.92,2
6,68.0032,-168.0065,10645,30.9,31,4.7734,32.4137,2,32.4379,4,246.6,1,36.39,2,9.91,2,0.23,2,1.96,2
6,68.0032,-168.0065,-999,42.2,42,4.7074,32.4387,2,-999,9,249.4,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,42.2,42,4.7074,32.4387,2,-999,9,249.4,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,47.4,47,4.709,32.4382,2,-999,9,249.4,1,-999,9,-999,9,-999,9,-999,9
6,68.0032,-168.0065,-999,47.4,47,4.709,32.4382,2,-999,9,249.4,1,-999,9,-999,9,-999,9,-999,9
