Station_ID	Sample_Depth	Start_Latitude	Start_Longitude	Hg0_pM	HgT_pM	DMHg_pM	MMHg_pM	TRANSM	FLUORM	CTDPRS	CTDTMP	CTDSAL	CTDOXY	SILCAT	NITRAT	NITRIT	PHSPHT
26	200	83.729	-174.399	0.05	0.43	0.017	0.055	4.4658	0.013	202.1	0.1008	34.6114	295.8	5.77	10.22	0.01	0.75
26	200	83.729	-174.399	0.05	0.43	0.017	0.055	4.4629	0.012	202.1	0.1008	34.6114	295.8	5.77	10.22	0.01	0.76
26	200	83.729	-174.399	0.05	0.43	0.017	0.055	4.4629	0.012	202.1	0.1008	34.6114	295.8	5.77	10.22	0.01	0.75
26	275	83.729	-174.399	0	0.46	0.041	0.075	4.4695	0.011	278	0.8439	34.8168	293.8	5.37	11.64	0.01	0.81
26	275	83.729	-174.399	0	0.46	0.041	0.075	4.4695	0.011	278	0.8439	34.8168	293.8	5.37	11.65	0	0.8
26	275	83.729	-174.399	0	0.46	0.041	0.075	4.4658	0.01	278	0.8439	34.8168	293.8	5.37	11.64	0.01	0.81
26	275	83.729	-174.399	0	0.46	0.041	0.075	4.4658	0.01	278	0.8439	34.8168	293.8	5.37	11.65	0	0.8
26	350	83.729	-174.399	0.25	0.46	0.064	0.073	4.4667	0.01	353.8	0.9844	34.8529	296.6	5.57	11.87	0.01	0.81
26	350	83.729	-174.399	0.25	0.46	0.064	0.073	4.4667	0.01	353.8	0.9844	34.8529	296.6	5.47	11.86	0.01	0.81
26	350	83.729	-174.399	0.25	0.46	0.064	0.073	4.4651	0.01	353.8	0.9844	34.8529	296.6	5.57	11.87	0.01	0.81
26	350	83.729	-174.399	0.25	0.46	0.064	0.073	4.4651	0.01	353.8	0.9844	34.8529	296.6	5.47	11.86	0.01	0.81
26	425	83.729	-174.399	0.23	0.85	0.039	0.082	4.4665	0.01	429.9	0.9425	34.8725	299	5.47	11.89	0.01	0.82
26	425	83.729	-174.399	0.23	0.85	0.039	0.082	4.4665	0.01	429.9	0.9425	34.8725	299	5.47	11.88	0.01	0.82
26	425	83.729	-174.399	0.23	0.85	0.039	0.082	4.4652	0.01	429.9	0.9425	34.8725	299	5.47	11.89	0.01	0.82
26	425	83.729	-174.399	0.23	0.85	0.039	0.082	4.4652	0.01	429.9	0.9425	34.8725	299	5.47	11.88	0.01	0.82
26	499	83.729	-174.399	0.105	0.49	0.0315	0.0895	4.4659	0.01	505	0.6778	34.8717	301.2	5.67	11.92	0.01	0.81
26	499	83.729	-174.399	0.105	0.49	0.0315	0.0895	4.4659	0.01	505	0.6778	34.8717	301.2	5.67	11.94	0	0.81
26	499	83.729	-174.399	0.105	0.49	0.0315	0.0895	4.4659	0.01	505.1	0.7118	34.8745	299.6	5.66	11.9	0	0.82
26	499	83.729	-174.399	0.105	0.49	0.0315	0.0895	4.4659	0.01	505.1	0.7118	34.8745	299.6	5.66	11.91	0	0.82
26	499	83.729	-174.399	0.105	0.49	0.0315	0.0895	4.4644	0.01	505	0.6778	34.8717	301.2	5.67	11.92	0.01	0.81
