Station_ID,Start_Latitude,Start_Longitude,Sample_Depth,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM
57,73.493,-156.811,1602,0.05,0.85,0.016,0
57,73.493,-156.811,2002,0.06,0.36,0.01,0.042
57,73.493,-156.811,2401,0.16,0.71,0.015,0.049
57,73.493,-156.811,2902,0.08,0.75,0,0.005
57,73.493,-156.811,3362,0.06,0.78,0.005,0.008
57,73.493,-156.811,3402,0,0.76,0.008,0.005
57,73.493,-156.811,3452,0.21,0.45,0.01,0.052
60,72.999,-158.846,1,0,0.56,0.005,0
60,72.999,-158.846,25,0,1.09,0,0.022
60,72.999,-158.846,36,0.25,1.39,0.007,0.034
60,72.999,-158.846,44,0.27,1.04,0.003,0.03
60,72.999,-158.846,57,0.19,1.43,0.01,0.021
60,72.999,-158.846,110,0.13,1.17,0.036,0.015
60,72.999,-158.846,138,0.26,0.64,0.032,0.046
60,72.999,-158.846,240,0.36,1.2,0.04,0.064
60,72.999,-158.846,336,0.06,1.05,0.112,0.016
60,72.999,-158.846,415,0.34,0.85,0.019,0.032
60,72.999,-158.846,660,0.09,0.85,0.012,0
60,72.999,-158.846,860,0.13,0.86,0.036,0.041
60,72.999,-158.846,885,0.34,0.9,0.029,0.032
61,72.798,-159.624,1,0,0.44,0.005,0
61,72.798,-159.624,21,0.04,0.73,0.003,0.005
61,72.798,-159.624,55,0.04,0.71,0.009,0.02
61,72.798,-159.624,80,0,0.41,0.014,0.022
66,71.997,-162.496,1,0.05,,0.01,0.01
66,71.997,-162.496,13,0.05,0.59,0.003,0.008
66,71.997,-162.496,21,0.12,1.12,0.022,0.004
66,71.997,-162.496,29,0.05,1.1,0.017,0.036
